code,ingredient,dosage,name,price
1121001X1018,ブロモバレリル尿素,１ｇ,ブロモバレリル尿素,7.5
1123001X1012,抱水クロラール,１ｇ,抱水クロラール,36.9
1124001B1039,エスタゾラム,１％１ｇ,ユーロジン散１％,39.3
1124001F1022,エスタゾラム,１ｍｇ１錠,ユーロジン１ｍｇ錠,5.9
1124001F1030,エスタゾラム,１ｍｇ１錠,エスタゾラム錠１ｍｇ「アメル」,5.9
1124001F2010,エスタゾラム,２ｍｇ１錠,エスタゾラム２ｍｇ錠,7.3
1124001F2029,エスタゾラム,２ｍｇ１錠,ユーロジン２ｍｇ錠,9.2
1124002M2022,フルラゼパム塩酸塩,１５ｍｇ１カプセル,ダルメートカプセル１５,7.8
1124003B1070,ニトラゼパム,１％１ｇ,ネルボン散１％,11.8
1124003C1092,ニトラゼパム,１％１ｇ,ベンザリン細粒１％,16.2
1124003C1114,ニトラゼパム,１％１ｇ,ニトラゼパム細粒１％「ＴＣＫ」,16.2
1124003F1021,ニトラゼパム,２ｍｇ１錠,ベンザリン錠２,5.9
1124003F2010,ニトラゼパム,５ｍｇ１錠,ニトラゼパム５ｍｇ錠,5.5
1124003F2222,ニトラゼパム,５ｍｇ１錠,ベンザリン錠５,8.4
1124003F2230,ニトラゼパム,５ｍｇ１錠,ネルボン錠５ｍｇ,7.7
1124003F3016,ニトラゼパム,１０ｍｇ１錠,ニトラゼパム１０ｍｇ錠,5.7
1124003F3083,ニトラゼパム,１０ｍｇ１錠,ネルボン錠１０ｍｇ,13.2
1124003F3121,ニトラゼパム,１０ｍｇ１錠,ベンザリン錠１０,13.2
1124005C1032,ハロキサゾラム,１％１ｇ,ソメリン細粒１％,19.7
1124005F1020,ハロキサゾラム,５ｍｇ１錠,ソメリン錠５ｍｇ,13.4
1124005F2027,ハロキサゾラム,１０ｍｇ１錠,ソメリン錠１０ｍｇ,17.9
1124007F1011,トリアゾラム,０．１２５ｍｇ１錠,トリアゾラム０．１２５ｍｇ錠,5.7
1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,ハルシオン０．１２５ｍｇ錠,5.9
1124007F2018,トリアゾラム,０．２５ｍｇ１錠,トリアゾラム０．２５ｍｇ錠,5.9
1124007F2026,トリアゾラム,０．２５ｍｇ１錠,ハルシオン０．２５ｍｇ錠,8.8
1124008F1016,フルニトラゼパム,１ｍｇ１錠,フルニトラゼパム１ｍｇ錠,5.7
1124008F1024,フルニトラゼパム,１ｍｇ１錠,サイレース錠１ｍｇ,8.4
1124008F2012,フルニトラゼパム,２ｍｇ１錠,フルニトラゼパム２ｍｇ錠,5.9
1124008F2020,フルニトラゼパム,２ｍｇ１錠,サイレース錠２ｍｇ,9.6
1124009F1010,ブロチゾラム,０．２５ｍｇ１錠,ブロチゾラム０．２５ｍｇ錠,10.1
1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,レンドルミン錠０．２５ｍｇ,12.5
1124009F2017,ブロチゾラム,０．２５ｍｇ１錠,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,10.1
1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,レンドルミンＤ錠０．２５ｍｇ,12.5
1124010F1021,ロルメタゼパム,１ｍｇ１錠,エバミール錠１．０,12.6
1124010F1030,ロルメタゼパム,１ｍｇ１錠,ロラメット錠１．０,14.7
1124013B1031,オキサゾラム,１０％１ｇ,セレナール散１０％,25.1
1124013F1033,オキサゾラム,５ｍｇ１錠,セレナール錠５,5.7
1124013F2064,オキサゾラム,１０ｍｇ１錠,セレナール錠１０,5.8
1124014B1036,クロキサゾラム,１％１ｇ,セパゾン散１％,18.7
1124014F1038,クロキサゾラム,１ｍｇ１錠,セパゾン錠１,5.7
1124014F2034,クロキサゾラム,２ｍｇ１錠,セパゾン錠２,5.8
1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,メンドンカプセル７．５ｍｇ,10.1
1124017B1129,ジアゼパム,１％１ｇ,セルシン散１％,10.7
1124017B1137,ジアゼパム,１％１ｇ,ジアゼパム散１％「アメル」,6.3
1124017B1145,ジアゼパム,１％１ｇ,ホリゾン散１％,11.5
1124017F2011,ジアゼパム,２ｍｇ１錠,ジアゼパム２ｍｇ錠,5.7
1124017F2135,ジアゼパム,２ｍｇ１錠,２ｍｇセルシン錠,6.0
1124017F2151,ジアゼパム,２ｍｇ１錠,ホリゾン錠２ｍｇ,6.0
1124017F4014,ジアゼパム,５ｍｇ１錠,ジアゼパム５ｍｇ錠,5.8
1124017F4049,ジアゼパム,５ｍｇ１錠,５ｍｇセルシン錠,9.4
